age,workclass,final_weight,education,education_number,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salario
28,Private,153869,primaria,7,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,<=50K
34,Private,119079,primaria,7,casado,Machine-op-inspct,Own-child,Black,Masculino,0,0,40,Norte America,<=50K
40,Private,343068,bachillerato,10,separado,Exec-managerial,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
22,funcionario,124942,bachillerato,10,soltero,Other-service,Own-child,White,Masculino,0,0,45,Norte America,<=50K
21,autonomo,74538,bachillerato,10,soltero,Tech-support,Not-in-family,White,Masculino,0,0,25,Norte America,<=50K
28,Private,285897,universidad,13,casado,Exec-managerial,Husband,White,Masculino,0,0,40,Norte America,<=50K
18,Private,188476,primaria,7,soltero,Exec-managerial,Own-child,White,Masculino,0,0,20,Norte America,<=50K
44,autonomo,456236,bachillerato,10,separado,Sales,Own-child,White,Masculino,0,0,45,Norte America,>50K
78,autonomo,188044,universidad,13,casado,Exec-managerial,Husband,White,Masculino,0,2392,40,Norte America,>50K
19,Private,164938,bachillerato,10,soltero,Other-service,Own-child,White,Femenino,0,0,25,Norte America,<=50K
38,Private,76317,bachillerato,11,casado,Exec-managerial,Husband,White,Masculino,0,0,55,Norte America,>50K
51,Private,117253,secundaria,9,separado,Prof-specialty,Unmarried,White,Femenino,0,0,40,Norte America,<=50K
46,Private,139946,secundaria,9,separado,Exec-managerial,Unmarried,White,Femenino,0,0,38,Norte America,>50K
49,Private,98092,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,>50K
23,funcionario,117789,bachillerato,11,soltero,Prof-specialty,Not-in-family,White,Femenino,0,0,50,Norte America,<=50K
37,Private,52870,universidad,13,casado,Exec-managerial,Husband,White,Masculino,0,0,40,Norte America,<=50K
25,Private,29020,bachillerato,12,separado,Adm-clerical,Not-in-family,Black,Femenino,0,0,45,Norte America,<=50K
24,Private,237928,universidad,13,soltero,Prof-specialty,Not-in-family,White,Masculino,0,0,39,Norte America,<=50K
27,Private,158647,bachillerato,10,soltero,Adm-clerical,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
18,Private,211344,secundaria,9,soltero,Machine-op-inspct,Own-child,White,Masculino,0,0,40,Norte America,<=50K
81,autonomo,193237,primaria,2,separado,Sales,Other-relative,White,Masculino,0,0,45,Norte America,<=50K
22,Private,27881,secundaria,9,casado,Farming-fishing,Husband,White,Masculino,0,0,45,Norte America,<=50K
40,Private,347890,universidad,13,casado,Prof-specialty,Husband,White,Masculino,0,0,40,Norte America,>50K
22,Private,100587,bachillerato,10,soltero,Other-service,Own-child,Black,Femenino,0,0,15,Norte America,<=50K
24,Private,170070,universidad,13,soltero,Tech-support,Not-in-family,White,Femenino,0,0,20,Norte America,<=50K
42,Private,200610,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,1740,60,Norte America,<=50K
40,Private,132633,bachillerato,10,separado,Sales,Unmarried,White,Femenino,0,1741,40,Norte America,<=50K
35,autonomo,199753,bachillerato,10,casado,Other-service,Husband,White,Masculino,0,0,60,Norte America,<=50K
49,funcionario,125892,universidad,13,casado,Exec-managerial,Husband,White,Masculino,0,0,40,Norte America,>50K
35,Private,171327,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,<=50K
23,Private,103064,universidad,13,soltero,Tech-support,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
54,funcionario,147629,master,14,casado,Prof-specialty,Husband,White,Masculino,7298,0,35,Norte America,>50K
30,Private,156718,secundaria,9,soltero,Tech-support,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
21,Private,286853,secundaria,9,soltero,Other-service,Own-child,White,Masculino,0,0,35,Norte America,<=50K
63,Private,71800,primaria,4,separado,Other-service,Not-in-family,White,Femenino,0,0,41,Norte America,<=50K
31,Private,90668,primaria,6,soltero,Other-service,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
29,funcionario,181282,universidad,13,separado,Prof-specialty,Not-in-family,White,Masculino,0,0,50,Norte America,<=50K
46,funcionario,149949,universidad,13,casado,Prof-specialty,Husband,White,Masculino,0,0,45,Norte America,>50K
38,Private,170783,bachillerato,11,separado,Other-service,Own-child,White,Masculino,0,0,25,Norte America,<=50K
30,Private,426017,primaria,7,soltero,Other-service,Own-child,White,Femenino,0,0,19,Norte America,<=50K
47,Private,83046,universidad,13,soltero,Exec-managerial,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
51,Private,221532,universidad,13,separado,Exec-managerial,Unmarried,White,Masculino,0,0,40,Norte America,>50K
20,Private,170091,bachillerato,10,soltero,Adm-clerical,Own-child,White,Femenino,0,0,10,Norte America,<=50K
37,Private,184498,secundaria,9,casado,Transport-moving,Husband,White,Masculino,0,0,40,Norte America,<=50K
51,Private,125796,primaria,7,separado,Other-service,Not-in-family,Black,Femenino,0,0,40,Norte America,<=50K
35,Private,438176,bachillerato,11,soltero,Other-service,Not-in-family,White,Femenino,0,0,65,Norte America,<=50K
41,Private,43556,bachillerato,11,separado,Tech-support,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
34,autonomo,260560,secundaria,9,soltero,Craft-repair,Not-in-family,White,Masculino,0,0,50,Norte America,<=50K
47,Private,52795,bachillerato,10,casado,Machine-op-inspct,Husband,White,Masculino,0,0,46,Norte America,<=50K
35,Private,203628,master,14,soltero,Prof-specialty,Not-in-family,White,Masculino,0,0,60,Norte America,>50K
30,Private,109282,bachillerato,10,soltero,Sales,Own-child,White,Masculino,0,0,20,Norte America,<=50K
22,Private,38707,bachillerato,10,soltero,Other-service,Own-child,White,Masculino,0,0,20,Norte America,<=50K
75,autonomo,126225,secundaria,9,casado,Exec-managerial,Husband,White,Masculino,0,0,40,Norte America,>50K
24,Private,38455,bachillerato,10,soltero,Craft-repair,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
26,Private,114483,secundaria,9,soltero,Craft-repair,Own-child,White,Masculino,0,0,40,Norte America,<=50K
40,funcionario,171231,universidad,13,soltero,Adm-clerical,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
29,Private,91547,bachillerato,10,soltero,Sales,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
44,Private,242521,universidad,13,casado,Sales,Husband,White,Masculino,7688,0,50,Norte America,>50K
53,Private,139671,bachillerato,10,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,>50K
48,Private,247895,universidad,13,casado,Exec-managerial,Husband,Black,Masculino,0,0,40,Norte America,>50K
34,Private,149943,secundaria,9,soltero,Other-service,Not-in-family,Asian-Pac-Islander,Masculino,0,0,40,Asia,<=50K
33,Private,106014,universidad,13,separado,Sales,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
60,Private,206339,secundaria,9,casado,Other-service,Husband,White,Masculino,0,0,40,Norte America,<=50K
39,Private,216129,bachillerato,12,separado,Exec-managerial,Unmarried,Black,Femenino,0,0,35,Norte America,<=50K
47,Private,165539,secundaria,9,soltero,Prof-specialty,Not-in-family,Black,Femenino,4101,0,40,Norte America,<=50K
47,autonomo,154174,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,60,Norte America,>50K
39,Private,106838,bachillerato,10,casado,Sales,Husband,White,Masculino,4386,0,45,Norte America,>50K
42,Private,46019,bachillerato,10,casado,Craft-repair,Husband,Amer-Indian-Eskimo,Masculino,5178,0,50,Norte America,>50K
23,Private,313573,universidad,13,soltero,Sales,Own-child,Black,Femenino,0,0,25,Norte America,<=50K
55,autonomo,322691,master,14,casado,Sales,Husband,White,Masculino,3103,0,55,Norte America,>50K
70,autonomo,272896,doctorado,16,casado,Exec-managerial,Husband,White,Masculino,0,0,40,Norte America,>50K
35,Private,52187,bachillerato,10,soltero,Other-service,Not-in-family,White,Masculino,0,0,30,Norte America,<=50K
24,Private,172169,bachillerato,10,soltero,Handlers-cleaners,Unmarried,White,Masculino,0,0,30,Norte America,<=50K
19,Private,238144,bachillerato,10,separado,Adm-clerical,Not-in-family,White,Femenino,0,0,20,Norte America,<=50K
20,Private,131611,bachillerato,10,soltero,Adm-clerical,Own-child,White,Masculino,0,0,48,Norte America,<=50K
69,Private,137109,primaria,6,separado,Other-service,Not-in-family,White,Femenino,0,0,16,Norte America,<=50K
45,funcionario,272182,bachillerato,10,casado,Tech-support,Husband,Black,Masculino,5013,0,40,Norte America,<=50K
44,Private,160323,secundaria,9,soltero,Craft-repair,Not-in-family,Black,Masculino,0,0,40,Norte America,<=50K
26,Private,193347,bachillerato,10,separado,Sales,Own-child,White,Femenino,0,0,28,Norte America,<=50K
29,funcionario,244473,universidad,13,casado,Exec-managerial,Husband,White,Masculino,7688,0,40,Norte America,>50K
36,Private,100681,bachillerato,10,soltero,Adm-clerical,Not-in-family,White,Masculino,2463,0,40,Norte America,<=50K
23,Private,161532,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,<=50K
57,funcionario,199114,universidad,13,soltero,Adm-clerical,Not-in-family,White,Masculino,0,2258,40,Norte America,<=50K
24,funcionario,163480,master,14,soltero,Adm-clerical,Not-in-family,Black,Femenino,0,0,40,Norte America,<=50K
60,Private,239576,master,14,casado,Transport-moving,Husband,White,Masculino,0,0,10,Norte America,<=50K
42,Private,145178,secundaria,9,separado,Tech-support,Not-in-family,Black,Femenino,0,0,40,Norte America,<=50K
46,Private,364548,bachillerato,10,casado,Exec-managerial,Husband,White,Masculino,0,0,48,Norte America,>50K
41,autonomo,299813,primaria,5,casado,Sales,Wife,White,Femenino,0,0,70,Norte America,<=50K
23,Private,145111,secundaria,9,soltero,Transport-moving,Unmarried,White,Masculino,0,0,50,Norte America,<=50K
34,funcionario,341051,master,14,casado,Adm-clerical,Husband,White,Masculino,0,0,50,Norte America,>50K
39,Private,110426,bachillerato,12,casado,Exec-managerial,Wife,White,Femenino,15024,0,45,Norte America,>50K
19,Private,178811,secundaria,9,soltero,Machine-op-inspct,Own-child,Black,Femenino,0,0,20,Norte America,<=50K
80,autonomo,184335,primaria,4,casado,Farming-fishing,Husband,White,Masculino,0,0,30,Norte America,<=50K
41,funcionario,173051,bachillerato,10,separado,Other-service,Unmarried,White,Femenino,0,0,45,Norte America,<=50K
47,funcionario,87504,universidad,13,separado,Tech-support,Unmarried,White,Femenino,0,0,50,Norte America,<=50K
21,Private,169699,secundaria,9,soltero,Adm-clerical,Not-in-family,White,Femenino,0,0,40,Norte America,<=50K
42,autonomo,369781,primaria,4,separado,Craft-repair,Unmarried,White,Masculino,0,0,25,Norte America,<=50K
59,funcionario,31840,secundaria,9,casado,Craft-repair,Husband,White,Masculino,0,0,40,Norte America,>50K
55,autonomo,396878,bachillerato,10,casado,Exec-managerial,Husband,Black,Masculino,0,0,25,Norte America,<=50K
61,Private,97030,bachillerato,10,separado,Other-service,Not-in-family,White,Femenino,0,0,30,Norte America,<=50K
45,Private,175925,universidad,13,separado,Machine-op-inspct,Not-in-family,White,Masculino,0,0,40,Norte America,<=50K
51,Private,63081,bachillerato,12,casado,Prof-specialty,Wife,White,Femenino,0,0,40,Norte America,>50K
